time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=16, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=19, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=21, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=24, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=26, tm_wday=6, tm_yday=199, tm_isdst=0)C69 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=29, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=31, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=34, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=36, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=39, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=41, tm_wday=6, tm_yday=199, tm_isdst=0)C59 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=44, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=46, tm_wday=6, tm_yday=199, tm_isdst=0)C67 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=22, tm_sec=49, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
